1.3,ballena,2,ballena,ballena,ballena,NC,ballena,b a ' j\\ e . n a ,ballena,b a ' j\\ e . n a ,ballena,b a ' L e . n a ,ballena,b a ' L e . n a ,ballena,ba'Le.na,ballena,ba'Le.na
1.3,ballenas,2,ballenas,ballena,ballena,NC,ballena,b a ' j\\ e . n a ,ballenas,b a ' j\\ e . n a s ,ballena,b a ' L e . n a ,ballenas,b a ' L e . n a s ,ballena,ba'Le.na,ballenas,ba'Le.nas
3.36,balón,229,balón,balón,balón,NC,balón,b a ' l o n ,balón,b a ' l o n ,balón,b a ' l o n ,balón,b a ' l o n ,balón,ba'lon,balón,ba'lon
1,balonazo,1,balonazo,balón,balón,NC,balón,b a ' l o n ,balonazo,b a . l o ' n a . T o ,balón,b a ' l o n ,balonazo,b a . l o ' n a . T o ,balón,ba'lon,balonazo,ba.lo'na.To
2,baloncesto,10,baloncesto,baloncesto,baloncesto,NC,baloncesto,b a . l o n_d_+ ' T e s . t o ,baloncesto,b a . l o n_d_+ ' T e s . t o ,baloncesto,b a . l o n ' T e s . t o ,baloncesto,b a . l o n ' T e s . t o ,baloncesto,ba.lon'Tes.to,baloncesto,ba.lon'Tes.to
1.95,balones,9,balones,balón,balón,NC,balón,b a ' l o n ,balones,b a ' l o . n e s ,balón,b a ' l o n ,balones,b a ' l o . n e s ,balón,ba'lon,balones,ba'lo.nes
1,Baltasar,1,baltasar,baltasar,baltasar,NP,baltasar,b a l_d . t a ' s a 4 ,Baltasar,b a l_d . t a ' s a 4 ,baltasar,b a l . t a ' s a 4 ,Baltasar,b a l . t a ' s a 4 ,baltasar,bal.ta'sa4,Baltasar,bal.ta'sa4
1.85,Bambi,7,bambi,bambi,bambi,NP,bambi,' b a m . b i ,Bambi,' b a m . b i ,bambi,' b a m . b i ,Bambi,' b a m . b i ,bambi,'bam.bi,Bambi,'bam.bi
1,bañado,1,bañado,bañar,bañar,VMP,bañar,b a ' J a 4 ,bañado,b a ' J a . D_o o ,bañar,b a ' J a 4 ,bañado,b a ' J a . d o ,bañar,ba'Ja4,bañado,ba'Ja.do
1,báñale,1,báñale,bañar+le,bañar,VMM+PP,bañar,b a ' J a 4 ,báñale,' b a . J a . l e ,bañar,b a ' J a 4 ,báñale,' b a . J a . l e ,bañar,ba'Ja4,báñale,'ba.Ja.le
1,bañan,1,bañan,bañar,bañar,VMI,bañar,b a ' J a 4 ,bañan,' b a . J ~a n ,bañar,b a ' J a 4 ,bañan,' b a . J a n ,bañar,ba'Ja4,bañan,'ba.Jan
2.04,bañar,11,bañar,bañar,bañar,VMN,bañar,b a ' J a 4 ,bañar,b a ' J a 4 ,bañar,b a ' J a 4 ,bañar,b a ' J a 4 ,bañar,ba'Ja4,bañar,ba'Ja4
1.78,banco,6,banco,banco,banco,NC,banco,' b a n_g . k o ,banco,' b a n_g . k o ,banco,' b a n . k o ,banco,' b a n . k o ,banco,'ban.ko,banco,'ban.ko
1,bandeja,1,bandeja,bandeja,bandeja,NC,bandeja,b a n_d ' d e . x a ,bandeja,b a n_d ' d e . x a ,bandeja,b a n ' d e . x a ,bandeja,b a n ' d e . x a ,bandeja,ban'de.xa,bandeja,ban'de.xa
2.65,bandera,45,bandera,bandera,bandera,NC,bandera,b a n_d ' d e . 4 a ,bandera,b a n_d ' d e . 4 a ,bandera,b a n ' d e . 4 a ,bandera,b a n ' d e . 4 a ,bandera,ban'de.4a,bandera,ban'de.4a
1,banderas,1,banderas,bandera,bandera,NC,bandera,b a n_d ' d e . 4 a ,banderas,b a n_d ' d e . 4 a s ,bandera,b a n ' d e . 4 a ,banderas,b a n ' d e . 4 a s ,bandera,ban'de.4a,banderas,ban'de.4as
1.3,banderilla,2,banderilla,banderilla,banderilla,NC,banderilla,b a n_d . d e ' 4 i . j\\ a ,banderilla,b a n_d . d e ' 4 i . j\\ a ,banderilla,b a n . d e ' 4 i . L a ,banderilla,b a n . d e ' 4 i . L a ,banderilla,ban.de'4i.La,banderilla,ban.de'4i.La
1,banderita,1,banderita,banderita,banderita,NC,banderita,b a n_d . d e ' 4 i . t a ,banderita,b a n_d . d e ' 4 i . t a ,banderita,b a n . d e ' 4 i . t a ,banderita,b a n . d e ' 4 i . t a ,banderita,ban.de'4i.ta,banderita,ban.de'4i.ta
1,bañen,1,bañen,bañar,bañar,VMS,bañar,b a ' J a 4 ,bañen,' b a . J ~e n ,bañar,b a ' J a 4 ,bañen,' b a . J e n ,bañar,ba'Ja4,bañen,'ba.Jen
1.7,bañera,5,bañera,bañera,bañera,NC,bañera,b a ' J e . 4 a ,bañera,b a ' J e . 4 a ,bañera,b a ' J e . 4 a ,bañera,b a ' J e . 4 a ,bañera,ba'Je.4a,bañera,ba'Je.4a
2,baño,10,baño,baño,baño,NC,baño,' b a . J o ,baño,' b a . J o ,baño,' b a . J o ,baño,' b a . J o ,baño,'ba.Jo,baño,'ba.Jo
1,baños,1,baños,baño,baño,NC,baño,' b a . J o ,baños,' b a . J o s ,baño,' b a . J o ,baños,' b a . J o s ,baño,'ba.Jo,baños,'ba.Jos
1.48,banqueta,3,banqueta,banqueta,banqueta,NC,banqueta,b a n_g ' k e . t a ,banqueta,b a n_g ' k e . t a ,banqueta,b a n ' k e . t a ,banqueta,b a n ' k e . t a ,banqueta,ban'ke.ta,banqueta,ban'ke.ta
1,banquetas,1,banquetas,banqueta,banqueta,NC,banqueta,b a n_g ' k e . t a ,banquetas,b a n_g ' k e . t a s ,banqueta,b a n ' k e . t a ,banquetas,b a n ' k e . t a s ,banqueta,ban'ke.ta,banquetas,ban'ke.tas
1,banquetita,1,banquetita,banqueta,banqueta,NC,banqueta,b a n_g ' k e . t a ,banquetita,b a n_g . k e ' t i . t a ,banqueta,b a n ' k e . t a ,banquetita,b a n . k e ' t i . t a ,banqueta,ban'ke.ta,banquetita,ban.ke'ti.ta
1.6,barba,4,barba,barba,barba,NC,barba,' b a 4 . B_o a ,barba,' b a 4 . B_o a ,barba,' b a 4 . b a ,barba,' b a 4 . b a ,barba,'ba4.ba,barba,'ba4.ba
1,barbacoa,1,barbacoa,barbacoa,barbacoa,NC,barbacoa,b a 4 . B_o a ' k o . a ,barbacoa,b a 4 . B_o a ' k o . a ,barbacoa,b a 4 . b a ' k o . a ,barbacoa,b a 4 . b a ' k o . a ,barbacoa,ba4.ba'ko.a,barbacoa,ba4.ba'ko.a
1,barbas,1,barbas,barba,barba,NC,barba,' b a 4 . B_o a ,barbas,' b a 4 . B_o a s ,barba,' b a 4 . b a ,barbas,' b a 4 . b a s ,barba,'ba4.ba,barbas,'ba4.bas
1.48,Barbie,3,barbie,barbi,barbi,NP,barbi,' b a 4 . B_o i ,Barbie,' b a 4 . B_o j e ,barbi,' b a 4 . b i ,Barbie,' b a 4 . b j e ,barbi,'ba4.bi,Barbie,'ba4.bje
1,barbilla,1,barbilla,barbilla,barbilla,NC,barbilla,b a 4 ' B_o i . j\\ a ,barbilla,b a 4 ' B_o i . j\\ a ,barbilla,b a 4 ' b i . L a ,barbilla,b a 4 ' b i . L a ,barbilla,ba4'bi.La,barbilla,ba4'bi.La
3.08,barca,120,barca,barca,barca,NC,barca,' b a 4 . k a ,barca,' b a 4 . k a ,barca,' b a 4 . k a ,barca,' b a 4 . k a ,barca,'ba4.ka,barca,'ba4.ka
1,barcas,1,barcas,barca,barca,NC,barca,' b a 4 . k a ,barcas,' b a 4 . k a s ,barca,' b a 4 . k a ,barcas,' b a 4 . k a s ,barca,'ba4.ka,barcas,'ba4.kas
3.75,barco,564,barco,barco,barco,NC,barco,' b a 4 . k o ,barco,' b a 4 . k o ,barco,' b a 4 . k o ,barco,' b a 4 . k o ,barco,'ba4.ko,barco,'ba4.ko
2.15,barcos,14,barcos,barco,barco,NC,barco,' b a 4 . k o ,barcos,' b a 4 . k o s ,barco,' b a 4 . k o ,barcos,' b a 4 . k o s ,barco,'ba4.ko,barcos,'ba4.kos
1.3,barquico,2,barquico,barquico,barquico,AQ,barquico,b a 4 ' k i . k o ,barquico,b a 4 ' k i . k o ,barquico,b a 4 ' k i . k o ,barquico,b a 4 ' k i . k o ,barquico,ba4'ki.ko,barquico,ba4'ki.ko
1.3,barquillo,2,barquillo,barquillo,barquillo,NC,barquillo,b a 4 ' k i . j\\ o ,barquillo,b a 4 ' k i . j\\ o ,barquillo,b a 4 ' k i . L o ,barquillo,b a 4 ' k i . L o ,barquillo,ba4'ki.Lo,barquillo,ba4'ki.Lo
2.04,barquita,11,barquita,barquita,barquita,NC,barquita,b a 4 ' k i . t a ,barquita,b a 4 ' k i . t a ,barquita,b a 4 ' k i . t a ,barquita,b a 4 ' k i . t a ,barquita,ba4'ki.ta,barquita,ba4'ki.ta
2.26,barquito,18,barquito,barco,barco,NC,barco,' b a 4 . k o ,barquito,b a 4 ' k i . t o ,barco,' b a 4 . k o ,barquito,b a 4 ' k i . t o ,barco,'ba4.ko,barquito,ba4'ki.to
1,barra,1,barra,barra,barra,NC,barra,' b a . r a ,barra,' b a . r a ,barra,' b a . r a ,barra,' b a . r a ,barra,'ba.ra,barra,'ba.ra
1.3,barraca,2,barraca,barraca,barraca,NC,barraca,b a ' r a . k a ,barraca,b a ' r a . k a ,barraca,b a ' r a . k a ,barraca,b a ' r a . k a ,barraca,ba'ra.ka,barraca,ba'ra.ka
1.95,barracas,9,barracas,barraca,barraca,NC,barraca,b a ' r a . k a ,barracas,b a ' r a . k a s ,barraca,b a ' r a . k a ,barracas,b a ' r a . k a s ,barraca,ba'ra.ka,barracas,ba'ra.kas
1,barras,1,barras,barra,barra,NC,barra,' b a . r a ,barras,' b a . r a s ,barra,' b a . r a ,barras,' b a . r a s ,barra,'ba.ra,barras,'ba.ras
1.3,barriga,2,barriga,barriga,barriga,NC,barriga,b a ' r i . G_o a ,barriga,b a ' r i . G_o a ,barriga,b a ' r i . g a ,barriga,b a ' r i . g a ,barriga,ba'ri.ga,barriga,ba'ri.ga
1,barriguitas,1,barriguitas,barriga,barriga,NC,barriga,b a ' r i . G_o a ,barriguitas,b a . r i ' G_o i . t a s ,barriga,b a ' r i . g a ,barriguitas,b a . r i ' g i . t a s ,barriga,ba'ri.ga,barriguitas,ba.ri'gi.tas
1.48,barro,3,barro,barro,barro,NC,barro,' b a . r o ,barro,' b a . r o ,barro,' b a . r o ,barro,' b a . r o ,barro,'ba.ro,barro,'ba.ro
1.48,basta,3,basta,bastar,bastar,VMI,bastar,b a s ' t a 4 ,basta,' b a s . t a ,bastar,b a s ' t a 4 ,basta,' b a s . t a ,bastar,bas'ta4,basta,'bas.ta
1,bastante,1,bastante,bastante,bastante,RG,bastante,b a s ' t a n_d . t e ,bastante,b a s ' t a n_d . t e ,bastante,b a s ' t a n . t e ,bastante,b a s ' t a n . t e ,bastante,bas'tan.te,bastante,bas'tan.te
1.6,bastón,4,bastón,bastón,bastón,NC,bastón,b a s ' t o n ,bastón,b a s ' t o n ,bastón,b a s ' t o n ,bastón,b a s ' t o n ,bastón,bas'ton,bastón,bas'ton
1.48,basura,3,basura,basura,basura,NC,basura,b a ' s u . 4 a ,basura,b a ' s u . 4 a ,basura,b a ' s u . 4 a ,basura,b a ' s u . 4 a ,basura,ba'su.4a,basura,ba'su.4a
1.3,bata,2,bata,bata,bata,NC,bata,' b a . t a ,bata,' b a . t a ,bata,' b a . t a ,bata,' b a . t a ,bata,'ba.ta,bata,'ba.ta
1,baúl,1,baúl,baúl,baúl,NC,baúl,' b a u l ,baúl,' b a u l ,baúl,' b a u l ,baúl,' b a u l ,baúl,'baul,baúl,'baul
1.3,Bea,2,bea,bea,bea,NP,bea,' b e . a ,Bea,' b e . a ,bea,' b e . a ,Bea,' b e . a ,bea,'be.a,Bea,'be.a
1.6,Beatriz,4,beatriz,beatriz,beatriz,NP,beatriz,b e . a ' t 4 i T ,Beatriz,b e . a ' t 4 i T ,beatriz,b e . a ' t 4 i T ,Beatriz,b e . a ' t 4 i T ,beatriz,be.a't4iT,Beatriz,be.a't4iT
1.6,bebe,4,bebe,beber,beber,VMI,beber,b e ' B_o e 4 ,bebe,' b e . B_o e ,beber,b e ' b e 4 ,bebe,' b e . b e ,beber,be'be4,bebe,'be.be
2.38,bebé,24,bebé,bebé,bebé,NC,bebé,b e ' B_o e ,bebé,b e ' B_o e ,bebé,b e ' b e ,bebé,b e ' b e ,bebé,be'be,bebé,be'be
1,bébela,1,bébela,beber+lo,beber,VMM+PP,beber,b e ' B_o e 4 ,bébela,' b e . B_o e . l a ,beber,b e ' b e 4 ,bébela,' b e . b e . l a ,beber,be'be4,bébela,'be.be.la
2,beber,10,beber,beber,beber,VMN,beber,b e ' B_o e 4 ,beber,b e ' B_o e 4 ,beber,b e ' b e 4 ,beber,b e ' b e 4 ,beber,be'be4,beber,be'be4
1,bebido,1,bebido,beber,beber,VMP,beber,b e ' B_o e 4 ,bebido,b e ' B_o i . D_o o ,beber,b e ' b e 4 ,bebido,b e ' b i . d o ,beber,be'be4,bebido,be'bi.do
1.7,bebiendo,5,bebiendo,beber,beber,VMG,beber,b e ' B_o e 4 ,bebiendo,b e ' B_o j e n_d . d o ,beber,b e ' b e 4 ,bebiendo,b e ' b j e n . d o ,beber,be'be4,bebiendo,be'bjen.do
1,bebiese,1,bebiese,beber,beber,VMS,beber,b e ' B_o e 4 ,bebiese,b e ' B_o j e . s e ,beber,b e ' b e 4 ,bebiese,b e ' b j e . s e ,beber,be'be4,bebiese,be'bje.se
1,bebo,1,bebo,beber,beber,VMI,beber,b e ' B_o e 4 ,bebo,' b e . B_o o ,beber,b e ' b e 4 ,bebo,' b e . b o ,beber,be'be4,bebo,'be.bo
1.3,Belén,2,belén,belén,belén,NC,belén,b e ' l e n ,Belén,b e ' l e n ,belén,b e ' l e n ,Belén,b e ' l e n ,belén,be'len,Belén,be'len
1,bello,1,bello,bello,bello,AQ,bello,' b e . j\\ o ,bello,' b e . j\\ o ,bello,' b e . L o ,bello,' b e . L o ,bello,'be.Lo,bello,'be.Lo
2,Beñat,10,beñat,beñat,beñat,NP,beñat,b e ' J a d ,Beñat,b e ' J a d ,beñat,b e ' J a d ,Beñat,b e ' J a d ,beñat,be'Jad,Beñat,be'Jad
1.3,Benicasim,2,benicasim,benicasim,benicasim,NP,benicasim,b e . n i . k a ' s i n ,Benicasim,b e . n i . k a ' s i n ,benicasim,b e . n i . k a ' s i n ,Benicasim,b e . n i . k a ' s i n ,benicasim,be.ni.ka'sin,Benicasim,be.ni.ka'sin
1.48,Benidorm,3,benidorm,benidorm,benidorm,NP,benidorm,b e . n i ' D_o o 4 n ,Benidorm,b e . n i ' D_o o 4 n ,benidorm,b e . n i ' d o 4 n ,Benidorm,b e . n i ' d o 4 n ,benidorm,be.ni'do4n,Benidorm,be.ni'do4n
1.48,Benito,3,benito,benito,benito,AQ,benito,b e ' n i . t o ,Benito,b e ' n i . t o ,benito,b e ' n i . t o ,Benito,b e ' n i . t o ,benito,be'ni.to,Benito,be'ni.to
1,besicos,1,besicos,beso,beso,NC,beso,' b e . s o ,besicos,b e ' s i . k o s ,beso,' b e . s o ,besicos,b e ' s i . k o s ,beso,'be.so,besicos,be'si.kos
1.3,besito,2,besito,beso,beso,NC,beso,' b e . s o ,besito,b e ' s i . t o ,beso,' b e . s o ,besito,b e ' s i . t o ,beso,'be.so,besito,be'si.to
1,besitos,1,besitos,beso,beso,NC,beso,' b e . s o ,besitos,b e ' s i . t o s ,beso,' b e . s o ,besitos,b e ' s i . t o s ,beso,'be.so,besitos,be'si.tos
2.59,beso,39,beso,beso,beso,NC,beso,' b e . s o ,beso,' b e . s o ,beso,' b e . s o ,beso,' b e . s o ,beso,'be.so,beso,'be.so
1.3,besó,2,besó,besar,besar,VMI,besar,b e ' s a 4 ,besó,b e ' s o ,besar,b e ' s a 4 ,besó,b e ' s o ,besar,be'sa4,besó,be'so
1.3,besos,2,besos,beso,beso,NC,beso,' b e . s o ,besos,' b e . s o s ,beso,' b e . s o ,besos,' b e . s o s ,beso,'be.so,besos,'be.sos
1,bestia,1,bestia,bestia,bestia,NC,bestia,' b e s . t j a ,bestia,' b e s . t j a ,bestia,' b e s . t j a ,bestia,' b e s . t j a ,bestia,'bes.tja,bestia,'bes.tja
1,bestias,1,bestias,bestia,bestia,NC,bestia,' b e s . t j a ,bestias,' b e s . t j a s ,bestia,' b e s . t j a ,bestias,' b e s . t j a s ,bestia,'bes.tja,bestias,'bes.tjas
1.48,biberón,3,biberón,biberón,biberón,NC,biberón,b i . B_o e ' 4 o n ,biberón,b i . B_o e ' 4 o n ,biberón,b i . b e ' 4 o n ,biberón,b i . b e ' 4 o n ,biberón,bi.be'4on,biberón,bi.be'4on
1.9,bicho,8,bicho,bicho,bicho,NC,bicho,' b i . tS o ,bicho,' b i . tS o ,bicho,' b i . C o ,bicho,' b i . C o ,bicho,'bi.Co,bicho,'bi.Co
1.6,bichos,4,bichos,bicho,bicho,NC,bicho,' b i . tS o ,bichos,' b i . tS o s ,bicho,' b i . C o ,bichos,' b i . C o s ,bicho,'bi.Co,bichos,'bi.Cos
1.85,bicicleta,7,bicicleta,bicicleta,bicicleta,NC,bicicleta,b i . T i ' k l e . t a ,bicicleta,b i . T i ' k l e . t a ,bicicleta,b i . T i ' k l e . t a ,bicicleta,b i . T i ' k l e . t a ,bicicleta,bi.Ti'kle.ta,bicicleta,bi.Ti'kle.ta
3.34,bien,217,bien,bien,bien,RG,bien,' b j e n ,bien,' b j e n ,bien,' b j e n ,bien,' b j e n ,bien,'bjen,bien,'bjen
1,bigote,1,bigote,bigote,bigote,NC,bigote,b i ' G_o o . t e ,bigote,b i ' G_o o . t e ,bigote,b i ' g o . t e ,bigote,b i ' g o . t e ,bigote,bi'go.te,bigote,bi'go.te
1.7,bigotes,5,bigotes,bigote,bigote,NC,bigote,b i ' G_o o . t e ,bigotes,b i ' G_o o . t e s ,bigote,b i ' g o . t e ,bigotes,b i ' g o . t e s ,bigote,bi'go.te,bigotes,bi'go.tes
1,biscote,1,biscote,biscote,biscote,NC,biscote,b i s ' k o . t e ,biscote,b i s ' k o . t e ,biscote,b i s ' k o . t e ,biscote,b i s ' k o . t e ,biscote,bis'ko.te,biscote,bis'ko.te
1,biscotes,1,biscotes,biscote,biscote,NC,biscote,b i s ' k o . t e ,biscotes,b i s ' k o . t e s ,biscote,b i s ' k o . t e ,biscotes,b i s ' k o . t e s ,biscote,bis'ko.te,biscotes,bis'ko.tes
2,bizcocho,10,bizcocho,bizcocho,bizcocho,NC,bizcocho,b i T ' k o . tS o ,bizcocho,b i T ' k o . tS o ,bizcocho,b i T ' k o . C o ,bizcocho,b i T ' k o . C o ,bizcocho,biT'ko.Co,bizcocho,biT'ko.Co
2.08,blanca,12,blanca,blanco,blanco,AQ,blanco,' b l a n_g . k o ,blanca,' b l a n_g . k a ,blanco,' b l a n . k o ,blanca,' b l a n . k a ,blanco,'blan.ko,blanca,'blan.ka
1.95,Blancanieves,9,blancanieves,Blancanieves,Blancanieves,NP,Blancanieves,b l a n_g . k a ' n j e . B_o e s ,Blancanieves,b l a n_g . k a ' n j e . B_o e s ,Blancanieves,b l a n . k a ' n j e . b e s ,Blancanieves,b l a n . k a ' n j e . b e s ,Blancanieves,blan.ka'nje.bes,Blancanieves,blan.ka'nje.bes
1.3,blancas,2,blancas,blanco,blanco,AQ,blanco,' b l a n_g . k o ,blancas,' b l a n_g . k a s ,blanco,' b l a n . k o ,blancas,' b l a n . k a s ,blanco,'blan.ko,blancas,'blan.kas
2.45,blanco,28,blanco,blanco,blanco,AQ,blanco,' b l a n_g . k o ,blanco,' b l a n_g . k o ,blanco,' b l a n . k o ,blanco,' b l a n . k o ,blanco,'blan.ko,blanco,'blan.ko
1.3,blancos,2,blancos,blanco,blanco,AQ,blanco,' b l a n_g . k o ,blancos,' b l a n_g . k o s ,blanco,' b l a n . k o ,blancos,' b l a n . k o s ,blanco,'blan.ko,blancos,'blan.kos
1,blando,1,blando,blando,blando,AQ,blando,' b l a n_d . d o ,blando,' b l a n_d . d o ,blando,' b l a n . d o ,blando,' b l a n . d o ,blando,'blan.do,blando,'blan.do
1,blanquico,1,blanquico,blanquico,blanquico,AQ,blanquico,b l a n_g ' k i . k o ,blanquico,b l a n_g ' k i . k o ,blanquico,b l a n ' k i . k o ,blanquico,b l a n ' k i . k o ,blanquico,blan'ki.ko,blanquico,blan'ki.ko
1.3,Blas,2,blas,blas,blas,NP,blas,' b l a s ,Blas,' b l a s ,blas,' b l a s ,Blas,' b l a s ,blas,'blas,Blas,'blas
1,bobitos,1,bobitos,bobo,bobo,AQ,bobo,' b o . B_o o ,bobitos,b o ' B_o i . t o s ,bobo,' b o . b o ,bobitos,b o ' b i . t o s ,bobo,'bo.bo,bobitos,bo'bi.tos
2.38,boca,24,boca,boca,boca,NC,boca,' b o . k a ,boca,' b o . k a ,boca,' b o . k a ,boca,' b o . k a ,boca,'bo.ka,boca,'bo.ka
2.04,bocadillo,11,bocadillo,bocadillo,bocadillo,NC,bocadillo,b o . k a ' D_o i . j\\ o ,bocadillo,b o . k a ' D_o i . j\\ o ,bocadillo,b o . k a ' d i . L o ,bocadillo,b o . k a ' d i . L o ,bocadillo,bo.ka'di.Lo,bocadillo,bo.ka'di.Lo
1,bocadillos,1,bocadillos,bocadillo,bocadillo,NC,bocadillo,b o . k a ' D_o i . j\\ o ,bocadillos,b o . k a ' D_o i . j\\ o s ,bocadillo,b o . k a ' d i . L o ,bocadillos,b o . k a ' d i . L o s ,bocadillo,bo.ka'di.Lo,bocadillos,bo.ka'di.Los
1.7,bocata,5,bocata,bocata,bocata,NC,bocata,b o ' k a . t a ,bocata,b o ' k a . t a ,bocata,b o ' k a . t a ,bocata,b o ' k a . t a ,bocata,bo'ka.ta,bocata,bo'ka.ta
1,bodegas,1,bodegas,bodega,bodega,NC,bodega,b o ' D_o e . G_o a ,bodegas,b o ' D_o e . G_o a s ,bodega,b o ' d e . g a ,bodegas,b o ' d e . g a s ,bodega,bo'de.ga,bodegas,bo'de.gas
3.26,bola,180,bola,bola,bola,NC,bola,' b o . l a ,bola,' b o . l a ,bola,' b o . l a ,bola,' b o . l a ,bola,'bo.la,bola,'bo.la
2.9,bolas,80,bolas,bola,bola,NC,bola,' b o . l a ,bolas,' b o . l a s ,bola,' b o . l a ,bolas,' b o . l a s ,bola,'bo.la,bolas,'bo.las
1,bolazo,1,bolazo,bol,bol,NC,bol,' b o l ,bolazo,b o ' l a . T o ,bol,' b o l ,bolazo,b o ' l a . T o ,bol,'bol,bolazo,bo'la.To
1,boli,1,boli,boli,boli,NC,boli,' b o . l i ,boli,' b o . l i ,boli,' b o . l i ,boli,' b o . l i ,boli,'bo.li,boli,'bo.li
1.48,bolica,3,bolica,bola,bola,NC,bola,' b o . l a ,bolica,b o ' l i . k a ,bola,' b o . l a ,bolica,b o ' l i . k a ,bola,'bo.la,bolica,bo'li.ka
1,bolicas,1,bolicas,bola,bola,NC,bola,' b o . l a ,bolicas,b o ' l i . k a s ,bola,' b o . l a ,bolicas,b o ' l i . k a s ,bola,'bo.la,bolicas,bo'li.kas
1.95,bolita,9,bolita,bolita,bolita,NC,bolita,b o ' l i . t a ,bolita,b o ' l i . t a ,bolita,b o ' l i . t a ,bolita,b o ' l i . t a ,bolita,bo'li.ta,bolita,bo'li.ta
2.11,bolitas,13,bolitas,bolita,bolita,NC,bolita,b o ' l i . t a ,bolitas,b o ' l i . t a s ,bolita,b o ' l i . t a ,bolitas,b o ' l i . t a s ,bolita,bo'li.ta,bolitas,bo'li.tas
1.48,bollo,3,bollo,bollo,bollo,NC,bollo,' b o . j\\ o ,bollo,' b o . j\\ o ,bollo,' b o . L o ,bollo,' b o . L o ,bollo,'bo.Lo,bollo,'bo.Lo
1.9,bolsa,8,bolsa,bolsa,bolsa,NC,bolsa,' b o l . s a ,bolsa,' b o l . s a ,bolsa,' b o l . s a ,bolsa,' b o l . s a ,bolsa,'bol.sa,bolsa,'bol.sa
1,bolsada,1,bolsada,bolsada,bolsada,NC,bolsada,b o l ' s a . D_o a ,bolsada,b o l ' s a . D_o a ,bolsada,b o l ' s a . d a ,bolsada,b o l ' s a . d a ,bolsada,bol'sa.da,bolsada,bol'sa.da
1,bolsillo,1,bolsillo,bolsillo,bolsillo,NC,bolsillo,b o l ' s i . j\\ o ,bolsillo,b o l ' s i . j\\ o ,bolsillo,b o l ' s i . L o ,bolsillo,b o l ' s i . L o ,bolsillo,bol'si.Lo,bolsillo,bol'si.Lo
1,bolsillos,1,bolsillos,bolsillo,bolsillo,NC,bolsillo,b o l ' s i . j\\ o ,bolsillos,b o l ' s i . j\\ o s ,bolsillo,b o l ' s i . L o ,bolsillos,b o l ' s i . L o s ,bolsillo,bol'si.Lo,bolsillos,bol'si.Los
1,bolsita,1,bolsita,bolsa,bolsa,NC,bolsa,' b o l . s a ,bolsita,b o l ' s i . t a ,bolsa,' b o l . s a ,bolsita,b o l ' s i . t a ,bolsa,'bol.sa,bolsita,bol'si.ta
1.78,bolso,6,bolso,bolso,bolso,NC,bolso,' b o l . s o ,bolso,' b o l . s o ,bolso,' b o l . s o ,bolso,' b o l . s o ,bolso,'bol.so,bolso,'bol.so
2.28,bomba,19,bomba,bomba,bomba,NC,bomba,' b o m . b a ,bomba,' b o m . b a ,bomba,' b o m . b a ,bomba,' b o m . b a ,bomba,'bom.ba,bomba,'bom.ba
1.3,bombero,2,bombero,bombero,bombero,NC,bombero,b o m ' b e . 4 o ,bombero,b o m ' b e . 4 o ,bombero,b o m ' b e . 4 o ,bombero,b o m ' b e . 4 o ,bombero,bom'be.4o,bombero,bom'be.4o
1.3,bombón,2,bombón,bombón,bombón,NC,bombón,b o m ' b o n ,bombón,b o m ' b o n ,bombón,b o m ' b o n ,bombón,b o m ' b o n ,bombón,bom'bon,bombón,bom'bon
1.85,bonita,7,bonita,bonito,bonito,AQ,bonito,b o ' n i . t o ,bonita,b o ' n i . t a ,bonito,b o ' n i . t o ,bonita,b o ' n i . t a ,bonito,bo'ni.to,bonita,bo'ni.ta
2.49,bonito,31,bonito,bonito,bonito,AQ,bonito,b o ' n i . t o ,bonito,b o ' n i . t o ,bonito,b o ' n i . t o ,bonito,b o ' n i . t o ,bonito,bo'ni.to,bonito,bo'ni.to
1,borde,1,borde,borde,borde,NC,borde,' b o 4 . D_o e ,borde,' b o 4 . D_o e ,borde,' b o 4 . d e ,borde,' b o 4 . d e ,borde,'bo4.de,borde,'bo4.de
1.3,borra,2,borra,borra,borra,NC,borra,' b o . r a ,borra,' b o . r a ,borra,' b o . r a ,borra,' b o . r a ,borra,'bo.ra,borra,'bo.ra
1,borraja,1,borraja,borraja,borraja,NC,borraja,b o ' r a . x a ,borraja,b o ' r a . x a ,borraja,b o ' r a . x a ,borraja,b o ' r a . x a ,borraja,bo'ra.xa,borraja,bo'ra.xa
1.3,borrando,2,borrando,borrar,borrar,VMG,borrar,b o ' r a 4 ,borrando,b o ' r a n_d . d o ,borrar,b o ' r a 4 ,borrando,b o ' r a n . d o ,borrar,bo'ra4,borrando,bo'ran.do
1,borrar,1,borrar,borrar,borrar,VMN,borrar,b o ' r a 4 ,borrar,b o ' r a 4 ,borrar,b o ' r a 4 ,borrar,b o ' r a 4 ,borrar,bo'ra4,borrar,bo'ra4
1.3,bosque,2,bosque,bosque,bosque,NC,bosque,' b o s . k e ,bosque,' b o s . k e ,bosque,' b o s . k e ,bosque,' b o s . k e ,bosque,'bos.ke,bosque,'bos.ke
1.9,bota,8,bota,bota,bota,NC,bota,' b o . t a ,bota,' b o . t a ,bota,' b o . t a ,bota,' b o . t a ,bota,'bo.ta,bota,'bo.ta
