5.07,a,11653,a,a,a,SP,a,a ,a,a ,a,' a ,a,' a ,a,'a,a,'a
1.48,cómodo,3,cómodo,cómodo,cómodo,AQ,cómodo,' k o . m o . D_o o ,cómodo,' k o . m o . D_o o ,cómodo,' k o . m o . d o ,cómodo,' k o . m o . d o ,cómodo,'ko.mo.do,cómodo,'ko.mo.do
1,comodones,1,comodones,comodón,comodón,AQ,comodón,k o . m o ' D_o o n ,comodones,k o . m o ' D_o o . n e s ,comodón,k o . m o ' d o n ,comodones,k o . m o ' d o . n e s ,comodón,ko.mo'don,comodones,ko.mo'do.nes
1.48,cómodos,3,cómodos,cómodo,cómodo,AQ,cómodo,' k o . m o . D_o o ,cómodos,' k o . m o . D_o o s ,cómodo,' k o . m o . d o ,cómodos,' k o . m o . d o s ,cómodo,'ko.mo.do,cómodos,'ko.mo.dos
1,compañera,1,compañera,compañero,compañero,NC,compañero,k o m . p a ' J e . 4 o ,compañera,k o m . p a ' J e . 4 a ,compañero,k o m . p a ' J e . 4 o ,compañera,k o m . p a ' J e . 4 a ,compañero,kom.pa'Je.4o,compañera,kom.pa'Je.4a
1.6,compañero,4,compañero,compañero,compañero,NC,compañero,k o m . p a ' J e . 4 o ,compañero,k o m . p a ' J e . 4 o ,compañero,k o m . p a ' J e . 4 o ,compañero,k o m . p a ' J e . 4 o ,compañero,kom.pa'Je.4o,compañero,kom.pa'Je.4o
1.3,compañeros,2,compañeros,compañero,compañero,NC,compañero,k o m . p a ' J e . 4 o ,compañeros,k o m . p a ' J e . 4 o s ,compañero,k o m . p a ' J e . 4 o ,compañeros,k o m . p a ' J e . 4 o s ,compañero,kom.pa'Je.4o,compañeros,kom.pa'Je.4os
1.3,compañía,2,compañía,compañía,compañía,NC,compañía,k o m . p a ' J i a ,compañía,k o m . p a ' J i a ,compañía,k o m . p a ' J i a ,compañía,k o m . p a ' J i a ,compañía,kom.pa'Jia,compañía,kom.pa'Jia
1,comparada,1,comparada,comparar,comparar,VMP,comparar,k o m . p a ' 4 a 4 ,comparada,k o m . p a ' 4 a . D_o a ,comparar,k o m . p a ' 4 a 4 ,comparada,k o m . p a ' 4 a . d a ,comparar,kom.pa'4a4,comparada,kom.pa'4a.da
1,comparativo,1,comparativo,comparativo,comparativo,AQ,comparativo,k o m . p a . 4 a ' t i . B_o o ,comparativo,k o m . p a . 4 a ' t i . B_o o ,comparativo,k o m . p a . 4 a ' t i . b o ,comparativo,k o m . p a . 4 a ' t i . b o ,comparativo,kom.pa.4a'ti.bo,comparativo,kom.pa.4a'ti.bo
1,compartir,1,compartir,compartir,compartir,VMN,compartir,k o m . p a 4 ' t i 4 ,compartir,k o m . p a 4 ' t i 4 ,compartir,k o m . p a 4 ' t i 4 ,compartir,k o m . p a 4 ' t i 4 ,compartir,kom.pa4'ti4,compartir,kom.pa4'ti4
1,compensado,1,compensado,compensar,compensar,VMP,compensar,k o m . p e n ' s a 4 ,compensado,k o m . p e n ' s a . D_o o ,compensar,k o m . p e n ' s a 4 ,compensado,k o m . p e n ' s a . d o ,compensar,kom.pen'sa4,compensado,kom.pen'sa.do
2.08,compra,12,compra,compra,compra,NC,compra,' k o m . p 4 a ,compra,' k o m . p 4 a ,compra,' k o m . p 4 a ,compra,' k o m . p 4 a ,compra,'kom.p4a,compra,'kom.p4a
2.26,comprado,18,comprado,comprar,comprar,VMP,comprar,k o m ' p 4 a 4 ,comprado,k o m ' p 4 a . D_o o ,comprar,k o m ' p 4 a 4 ,comprado,k o m ' p 4 a . d o ,comprar,kom'p4a4,comprado,kom'p4a.do
1.48,compramos,3,compramos,comprar,comprar,VMI,comprar,k o m ' p 4 a 4 ,compramos,k o m ' p 4 a . m o s ,comprar,k o m ' p 4 a 4 ,compramos,k o m ' p 4 a . m o s ,comprar,kom'p4a4,compramos,kom'p4a.mos
1.6,compran,4,compran,comprar,comprar,VMI,comprar,k o m ' p 4 a 4 ,compran,' k o m . p 4 a n ,comprar,k o m ' p 4 a 4 ,compran,' k o m . p 4 a n ,comprar,kom'p4a4,compran,'kom.p4an
1.9,comprando,8,comprando,comprar,comprar,VMG,comprar,k o m ' p 4 a 4 ,comprando,k o m ' p 4 a n_d . d o ,comprar,k o m ' p 4 a 4 ,comprando,k o m ' p 4 a n . d o ,comprar,kom'p4a4,comprando,kom'p4an.do
2.56,comprar,36,comprar,comprar,comprar,VMN,comprar,k o m ' p 4 a 4 ,comprar,k o m ' p 4 a 4 ,comprar,k o m ' p 4 a 4 ,comprar,k o m ' p 4 a 4 ,comprar,kom'p4a4,comprar,kom'p4a4
1.7,compras,5,compras,compra,compra,NC,compra,' k o m . p 4 a ,compras,' k o m . p 4 a s ,compra,' k o m . p 4 a ,compras,' k o m . p 4 a s ,compra,'kom.p4a,compras,'kom.p4as
1,compremos,1,compremos,comprar,comprar,VMS,comprar,k o m ' p 4 a 4 ,compremos,k o m ' p 4 e . m o s ,comprar,k o m ' p 4 a 4 ,compremos,k o m ' p 4 e . m o s ,comprar,kom'p4a4,compremos,kom'p4e.mos
1,compren,1,compren,comprar,comprar,VMS,comprar,k o m ' p 4 a 4 ,compren,' k o m . p 4 e n ,comprar,k o m ' p 4 a 4 ,compren,' k o m . p 4 e n ,comprar,kom'p4a4,compren,'kom.p4en
1,compro,1,compro,comprar,comprar,VMI,comprar,k o m ' p 4 a 4 ,compro,' k o m . p 4 o ,comprar,k o m ' p 4 a 4 ,compro,' k o m . p 4 o ,comprar,kom'p4a4,compro,'kom.p4o
1,comprobado,1,comprobado,comprobar,comprobar,VMP,comprobar,k o m . p 4 o ' B_o a 4 ,comprobado,k o m . p 4 o ' B_o a . D_o o ,comprobar,k o m . p 4 o ' b a 4 ,comprobado,k o m . p 4 o ' b a . d o ,comprobar,kom.p4o'ba4,comprobado,kom.p4o'ba.do
1,compuerta,1,compuerta,compuerta,compuerta,NC,compuerta,k o m ' p w e 4 . t a ,compuerta,k o m ' p w e 4 . t a ,compuerta,k o m ' p w e 4 . t a ,compuerta,k o m ' p w e 4 . t a ,compuerta,kom'pwe4.ta,compuerta,kom'pwe4.ta
4.17,con,1472,con,con,con,SP,con,k o n ,con,k o n ,con,' k o n ,con,' k o n ,con,'kon,con,'kon
1.3,Conchi,2,conchi,conchi,conchi,NP,conchi,' k o n_j . tS i ,Conchi,' k o n_j . tS i ,conchi,' k o n . C i ,Conchi,' k o n . C i ,conchi,'kon.Ci,Conchi,'kon.Ci
1,Conchito,1,conchito,conchito,conchito,NP,conchito,k o n_j ' tS i . t o ,Conchito,k o n_j ' tS i . t o ,conchito,k o n ' C i . t o ,Conchito,k o n ' C i . t o ,conchito,kon'Ci.to,Conchito,kon'Ci.to
2.51,conduce,32,conduce,conducir,conducir,VMI,conducir,k o n_d . d u ' T i 4 ,conduce,k o n_d ' d u . T e ,conducir,k o n . d u ' T i 4 ,conduce,k o n ' d u . T e ,conducir,kon.du'Ti4,conduce,kon'du.Te
1.48,conducen,3,conducen,conducir,conducir,VMI,conducir,k o n_d . d u ' T i 4 ,conducen,k o n_d ' d u . T e n ,conducir,k o n . d u ' T i 4 ,conducen,k o n ' d u . T e n ,conducir,kon.du'Ti4,conducen,kon'du.Ten
1.48,conduces,3,conduces,conducir,conducir,VMI,conducir,k o n_d . d u ' T i 4 ,conduces,k o n_d ' d u . T e s ,conducir,k o n . d u ' T i 4 ,conduces,k o n ' d u . T e s ,conducir,kon.du'Ti4,conduces,kon'du.Tes
1.48,conduciendo,3,conduciendo,conducir,conducir,VMG,conducir,k o n_d . d u ' T i 4 ,conduciendo,k o n_d . d u ' T j e n_d . d o ,conducir,k o n . d u ' T i 4 ,conduciendo,k o n . d u ' T j e n . d o ,conducir,kon.du'Ti4,conduciendo,kon.du'Tjen.do
2.51,conducir,32,conducir,conducir,conducir,VMN,conducir,k o n_d . d u ' T i 4 ,conducir,k o n_d . d u ' T i 4 ,conducir,k o n . d u ' T i 4 ,conducir,k o n . d u ' T i 4 ,conducir,kon.du'Ti4,conducir,kon.du'Ti4
1,conducirlo,1,conducirlo,conducir+lo,conducir,VMN+PP,conducir,k o n_d . d u ' T i 4 ,conducirlo,k o n_d . d u ' T i 4 l o ,conducir,k o n . d u ' T i 4 ,conducirlo,k o n . d u ' T i 4 l o ,conducir,kon.du'Ti4,conducirlo,kon.du'Ti4lo
1.9,conductor,8,conductor,conductor,conductor,NC,conductor,k o n_d . d u g ' t o 4 ,conductor,k o n_d . d u g ' t o 4 ,conductor,k o n . d u g ' t o 4 ,conductor,k o n . d u g ' t o 4 ,conductor,kon.dug'to4,conductor,kon.dug'to4
1.6,conduzca,4,conduzca,conducir,conducir,VMS,conducir,k o n_d . d u ' T i 4 ,conduzca,k o n_d ' d u T . k a ,conducir,k o n . d u ' T i 4 ,conduzca,k o n ' d u T . k a ,conducir,kon.du'Ti4,conduzca,kon'duT.ka
1.3,conduzco,2,conduzco,conducir,conducir,VMI,conducir,k o n_d . d u ' T i 4 ,conduzco,k o n_d ' d u T . k o ,conducir,k o n . d u ' T i 4 ,conduzco,k o n ' d u T . k o ,conducir,kon.du'Ti4,conduzco,kon'duT.ko
1,conejito,1,conejito,conejo,conejo,NC,conejo,k o ' n e . x o ,conejito,k o . n e ' x i . t o ,conejo,k o ' n e . x o ,conejito,k o . n e ' x i . t o ,conejo,ko'ne.xo,conejito,ko.ne'xi.to
1.7,conejo,5,conejo,conejo,conejo,NC,conejo,k o ' n e . x o ,conejo,k o ' n e . x o ,conejo,k o ' n e . x o ,conejo,k o ' n e . x o ,conejo,ko'ne.xo,conejo,ko'ne.xo
1.3,conejos,2,conejos,conejo,conejo,NC,conejo,k o ' n e . x o ,conejos,k o ' n e . x o s ,conejo,k o ' n e . x o ,conejos,k o ' n e . x o s ,conejo,ko'ne.xo,conejos,ko'ne.xos
1,confunde,1,confunde,confundir,confundir,VMI,confundir,k o F . f u n_d ' d i 4 ,confunde,k o F ' f u n_d . d e ,confundir,k o n . f u n ' d i 4 ,confunde,k o n ' f u n . d e ,confundir,kon.fun'di4,confunde,kon'fun.de
1,confundes,1,confundes,confundir,confundir,VMI,confundir,k o F . f u n_d ' d i 4 ,confundes,k o F ' f u n_d . d e s ,confundir,k o n . f u n ' d i 4 ,confundes,k o n ' f u n . d e s ,confundir,kon.fun'di4,confundes,kon'fun.des
2.04,confundido,11,confundido,confundir,confundir,VMP,confundir,k o F . f u n_d ' d i 4 ,confundido,k o F . f u n_d ' d i . D_o o ,confundir,k o n . f u n ' d i 4 ,confundido,k o n . f u n ' d i . d o ,confundir,kon.fun'di4,confundido,kon.fun'di.do
1,confundo,1,confundo,confundir,confundir,VMI,confundir,k o F . f u n_d ' d i 4 ,confundo,k o F ' f u n_d . d o ,confundir,k o n . f u n ' d i 4 ,confundo,k o n ' f u n . d o ,confundir,kon.fun'di4,confundo,kon'fun.do
1,congelan,1,congelan,congelar,congelar,VMI,congelar,k o n_g . x e ' l a 4 ,congelan,k o n_g ' x e . l a n ,congelar,k o n . x e ' l a 4 ,congelan,k o n ' x e . l a n ,congelar,kon.xe'la4,congelan,kon'xe.lan
1,congelar,1,congelar,congelar,congelar,VMN,congelar,k o n_g . x e ' l a 4 ,congelar,k o n_g . x e ' l a 4 ,congelar,k o n . x e ' l a 4 ,congelar,k o n . x e ' l a 4 ,congelar,kon.xe'la4,congelar,kon.xe'la4
2.32,conmigo,21,conmigo,conmigo,conmigo,PP,conmigo,' k o m: i . G_o o ,conmigo,' k o m: i . G_o o ,conmigo,' k o m: i . g o ,conmigo,' k o m: i . g o ,conmigo,'kom:i.go,conmigo,'kom:i.go
1,conoce,1,conoce,conocer,conocer,VMI,conocer,k o . n o ' T e 4 ,conoce,k o ' n o . T e ,conocer,k o . n o ' T e 4 ,conoce,k o ' n o . T e ,conocer,ko.no'Te4,conoce,ko'no.Te
1,conocemos,1,conocemos,conocer,conocer,VMI,conocer,k o . n o ' T e 4 ,conocemos,k o . n o ' T e . m o s ,conocer,k o . n o ' T e 4 ,conocemos,k o . n o ' T e . m o s ,conocer,ko.no'Te4,conocemos,ko.no'Te.mos
1,conocerás,1,conocerás,conocer,conocer,VMI,conocer,k o . n o ' T e 4 ,conocerás,k o . n o . T e ' 4 a s ,conocer,k o . n o ' T e 4 ,conocerás,k o . n o . T e ' 4 a s ,conocer,ko.no'Te4,conocerás,ko.no.Te'4as
1.7,conocerle,5,conocerle,conocer+le,conocer,VMN+PP,conocer,k o . n o ' T e 4 ,conocerle,k o . n o ' T e 4 l e ,conocer,k o . n o ' T e 4 ,conocerle,k o . n o ' T e 4 l e ,conocer,ko.no'Te4,conocerle,ko.no'Te4le
1.48,conocerlo,3,conocerlo,conocer+lo,conocer,VMN+PP,conocer,k o . n o ' T e 4 ,conocerlo,k o . n o ' T e 4 l o ,conocer,k o . n o ' T e 4 ,conocerlo,k o . n o ' T e 4 l o ,conocer,ko.no'Te4,conocerlo,ko.no'Te4lo
1,conocerte,1,conocerte,conocer+te,conocer,VMN+PP,conocer,k o . n o ' T e 4 ,conocerte,k o . n o ' T e 4 . t e ,conocer,k o . n o ' T e 4 ,conocerte,k o . n o ' T e 4 . t e ,conocer,ko.no'Te4,conocerte,ko.no'Te4.te
2.18,conoces,15,conoces,conocer,conocer,VMI,conocer,k o . n o ' T e 4 ,conoces,k o ' n o . T e s ,conocer,k o . n o ' T e 4 ,conoces,k o ' n o . T e s ,conocer,ko.no'Te4,conoces,ko'no.Tes
1,conocía,1,conocía,conocer,conocer,VMI,conocer,k o . n o ' T e 4 ,conocía,k o . n o ' T i a ,conocer,k o . n o ' T e 4 ,conocía,k o . n o ' T i a ,conocer,ko.no'Te4,conocía,ko.no'Tia
1.48,conocido,3,conocido,conocer,conocer,VMP,conocer,k o . n o ' T e 4 ,conocido,k o . n o ' T i . D_o o ,conocer,k o . n o ' T e 4 ,conocido,k o . n o ' T i . d o ,conocer,ko.no'Te4,conocido,ko.no'Ti.do
1,conociendo,1,conociendo,conocer,conocer,VMG,conocer,k o . n o ' T e 4 ,conociendo,k o . n o ' T j e n_d . d o ,conocer,k o . n o ' T e 4 ,conociendo,k o . n o ' T j e n . d o ,conocer,ko.no'Te4,conociendo,ko.no'Tjen.do
1.95,conozco,9,conozco,conocer,conocer,VMI,conocer,k o . n o ' T e 4 ,conozco,k o ' n o T . k o ,conocer,k o . n o ' T e 4 ,conozco,k o ' n o T . k o ,conocer,ko.no'Te4,conozco,ko'noT.ko
1,conseguimos,1,conseguimos,conseguir,conseguir,VMI,conseguir,k o n . s e ' G_o i 4 ,conseguimos,k o n . s e ' G_o i . m o s ,conseguir,k o n . s e ' g i 4 ,conseguimos,k o n . s e ' g i . m o s ,conseguir,kon.se'gi4,conseguimos,kon.se'gi.mos
1.3,construcción,2,construcción,construcción,construcción,NC,construcción,k o n s . t 4 u g ' T j o n ,construcción,k o n s . t 4 u g ' T j o n ,construcción,k o n s . t 4 u g ' T j o n ,construcción,k o n s . t 4 u g ' T j o n ,construcción,kons.t4ug'Tjon,construcción,kons.t4ug'Tjon
1.48,construcciones,3,construcciones,construcción,construcción,NC,construcción,k o n s . t 4 u g ' T j o n ,construcciones,k o n s . t 4 u g ' T j o . n e s ,construcción,k o n s . t 4 u g ' T j o n ,construcciones,k o n s . t 4 u g ' T j o . n e s ,construcción,kons.t4ug'Tjon,construcciones,kons.t4ug'Tjo.nes
1,construíste,1,construíste,construíste,construíste,VMI,construíste,k o n s ' t 4 w i s . t e ,construíste,k o n s ' t 4 w i s . t e ,construíste,k o n s ' t 4 w i s . t e ,construíste,k o n s ' t 4 w i s . t e ,construíste,kons't4wis.te,construíste,kons't4wis.te
1,contabas,1,contabas,contar,contar,VMI,contar,k o n_d ' t a 4 ,contabas,k o n_d ' t a . B_o a s ,contar,k o n ' t a 4 ,contabas,k o n ' t a . b a s ,contar,kon'ta4,contabas,kon'ta.bas
1,contad,1,contad,contar,contar,VMM,contar,k o n_d ' t a 4 ,contad,k o n_d ' t a D ,contar,k o n ' t a 4 ,contad,k o n ' t a d ,contar,kon'ta4,contad,kon'tad
1,contadme,1,contadme,contar+me,contar,VMM+PP,contar,k o n_d ' t a 4 ,contadme,k o n_d ' t a D_o . m e ,contar,k o n ' t a 4 ,contadme,k o n ' t a d . m e ,contar,kon'ta4,contadme,kon'tad.me
2.78,contado,60,contado,contar,contar,VMP,contar,k o n_d ' t a 4 ,contado,k o n_d ' t a . D_o o ,contar,k o n ' t a 4 ,contado,k o n ' t a . d o ,contar,kon'ta4,contado,kon'ta.do
1.6,contáis,4,contáis,contar,contar,VMI,contar,k o n_d ' t a 4 ,contáis,k o n_d ' t a i_^ s ,contar,k o n ' t a 4 ,contáis,k o n ' t a i s ,contar,kon'ta4,contáis,kon'tais
2.11,contamos,13,contamos,contar,contar,VMI,contar,k o n_d ' t a 4 ,contamos,k o n_d ' t a . m o s ,contar,k o n ' t a 4 ,contamos,k o n ' t a . m o s ,contar,kon'ta4,contamos,kon'ta.mos
2.28,contando,19,contando,contar,contar,VMG,contar,k o n_d ' t a 4 ,contando,k o n_d ' t a n_d . d o ,contar,k o n ' t a 4 ,contando,k o n ' t a n . d o ,contar,kon'ta4,contando,kon'tan.do
1.95,contándome,9,contándome,contar+me,contar,VMG+PP,contar,k o n_d ' t a 4 ,contándome,k o n_d ' t a n_d . d o . m e ,contar,k o n ' t a 4 ,contándome,k o n ' t a n . d o . m e ,contar,kon'ta4,contándome,kon'tan.do.me
3.13,contar,136,contar,contar,contar,VMN,contar,k o n_d ' t a 4 ,contar,k o n_d ' t a 4 ,contar,k o n ' t a 4 ,contar,k o n ' t a 4 ,contar,kon'ta4,contar,kon'ta4
1,contarás,1,contarás,contar,contar,VMI,contar,k o n_d ' t a 4 ,contarás,k o n_d . t a ' 4 a s ,contar,k o n ' t a 4 ,contarás,k o n . t a ' 4 a s ,contar,kon'ta4,contarás,kon.ta'4as
1.48,contarlas,3,contarlas,contar+lo,contar,VMN+PP,contar,k o n_d ' t a 4 ,contarlas,k o n_d ' t a 4 l a s ,contar,k o n ' t a 4 ,contarlas,k o n ' t a 4 l a s ,contar,kon'ta4,contarlas,kon'ta4las
1,contarle,1,contarle,contar+le,contar,VMN+PP,contar,k o n_d ' t a 4 ,contarle,k o n_d ' t a 4 l e ,contar,k o n ' t a 4 ,contarle,k o n ' t a 4 l e ,contar,kon'ta4,contarle,kon'ta4le
1.48,contarlo,3,contarlo,contar+lo,contar,VMN+PP,contar,k o n_d ' t a 4 ,contarlo,k o n_d ' t a 4 l o ,contar,k o n ' t a 4 ,contarlo,k o n ' t a 4 l o ,contar,kon'ta4,contarlo,kon'ta4lo
1.6,contarlos,4,contarlos,contar+lo,contar,VMN+PP,contar,k o n_d ' t a 4 ,contarlos,k o n_d ' t a 4 l o s ,contar,k o n ' t a 4 ,contarlos,k o n ' t a 4 l o s ,contar,kon'ta4,contarlos,kon'ta4los
1.78,contarme,6,contarme,contar+me,contar,VMN+PP,contar,k o n_d ' t a 4 ,contarme,k o n_d ' t a 4 . m e ,contar,k o n ' t a 4 ,contarme,k o n ' t a 4 . m e ,contar,kon'ta4,contarme,kon'ta4.me
1.3,contármelo,2,contármelo,contar+me+lo,contar,VMN+PP+PP,contar,k o n_d ' t a 4 ,contármelo,k o n_d ' t a 4 . m e . l o ,contar,k o n ' t a 4 ,contármelo,k o n ' t a 4 . m e . l o ,contar,kon'ta4,contármelo,kon'ta4.me.lo
1.3,contarnos,2,contarnos,contar+nos,contar,VMN+PP,contar,k o n_d ' t a 4 ,contarnos,k o n_d ' t a 4 . n o s ,contar,k o n ' t a 4 ,contarnos,k o n ' t a 4 . n o s ,contar,kon'ta4,contarnos,kon'ta4.nos
1,contases,1,contases,contar,contar,VMS,contar,k o n_d ' t a 4 ,contases,k o n_d ' t a . s e s ,contar,k o n ' t a 4 ,contases,k o n ' t a . s e s ,contar,kon'ta4,contases,kon'ta.ses
1,contemos,1,contemos,contar,contar,VMS,contar,k o n_d ' t a 4 ,contemos,k o n_d ' t e . m o s ,contar,k o n ' t a 4 ,contemos,k o n ' t e . m o s ,contar,kon'ta4,contemos,kon'te.mos
2.45,contenta,28,contenta,contentar,contentar,VMI,contentar,k o n_d . t e n_d ' t a 4 ,contenta,k o n_d ' t e n_d . t a ,contentar,k o n . t e n ' t a 4 ,contenta,k o n ' t e n . t a ,contentar,kon.ten'ta4,contenta,kon'ten.ta
1,contentas,1,contentas,contento,contento,NC,contento,k o n_d ' t e n_d . t o ,contentas,k o n_d ' t e n_d . t a s ,contento,k o n ' t e n . t o ,contentas,k o n ' t e n . t a s ,contento,kon'ten.to,contentas,kon'ten.tas
1,contentísimo,1,contentísimo,contento,contento,AQ,contento,k o n_d ' t e n_d . t o ,contentísimo,k o n_d . t e n_d ' t i . s i . m o ,contento,k o n ' t e n . t o ,contentísimo,k o n . t e n ' t i . s i . m o ,contento,kon'ten.to,contentísimo,kon.ten'ti.si.mo
1,contentísimos,1,contentísimos,contento,contento,AQ,contento,k o n_d ' t e n_d . t o ,contentísimos,k o n_d . t e n_d ' t i . s i . m o s ,contento,k o n ' t e n . t o ,contentísimos,k o n . t e n ' t i . s i . m o s ,contento,kon'ten.to,contentísimos,kon.ten'ti.si.mos
2.9,contento,79,contento,contento,contento,AQ,contento,k o n_d ' t e n_d . t o ,contento,k o n_d ' t e n_d . t o ,contento,k o n ' t e n . t o ,contento,k o n ' t e n . t o ,contento,kon'ten.to,contento,kon'ten.to
2.79,contentos,62,contentos,contento,contento,AQ,contento,k o n_d ' t e n_d . t o ,contentos,k o n_d ' t e n_d . t o s ,contento,k o n ' t e n . t o ,contentos,k o n ' t e n . t o s ,contento,kon'ten.to,contentos,kon'ten.tos
1.3,contesta,2,contesta,contestar,contestar,VMI,contestar,k o n_d . t e s ' t a 4 ,contesta,k o n_d ' t e s . t a ,contestar,k o n . t e s ' t a 4 ,contesta,k o n ' t e s . t a ,contestar,kon.tes'ta4,contesta,kon'tes.ta
1,contestación,1,contestación,contestación,contestación,NC,contestación,k o n_d . t e s . t a ' T j o n ,contestación,k o n_d . t e s . t a ' T j o n ,contestación,k o n . t e s . t a ' T j o n ,contestación,k o n . t e s . t a ' T j o n ,contestación,kon.tes.ta'Tjon,contestación,kon.tes.ta'Tjon
1,contestado,1,contestado,contestar,contestar,VMP,contestar,k o n_d . t e s ' t a 4 ,contestado,k o n_d . t e s ' t a . D_o o ,contestar,k o n . t e s ' t a 4 ,contestado,k o n . t e s ' t a . d o ,contestar,kon.tes'ta4,contestado,kon.tes'ta.do
1,contestame,1,contestame,contestar+me,contestar,VMM+PP,contestar,k o n_d . t e s ' t a 4 ,contestame,k o n_d . t e s ' t a . m e ,contestar,k o n . t e s ' t a 4 ,contestame,k o n . t e s ' t a . m e ,contestar,kon.tes'ta4,contestame,kon.tes'ta.me
1,contéstame,1,contéstame,contestar+me,contestar,VMM+PP,contestar,k o n_d . t e s ' t a 4 ,contéstame,k o n_d ' t e s . t a . m e ,contestar,k o n . t e s ' t a 4 ,contéstame,k o n ' t e s . t a . m e ,contestar,kon.tes'ta4,contéstame,kon'tes.ta.me
1.3,contestan,2,contestan,contestar,contestar,VMI,contestar,k o n_d . t e s ' t a 4 ,contestan,k o n_d ' t e s . t a n ,contestar,k o n . t e s ' t a 4 ,contestan,k o n ' t e s . t a n ,contestar,kon.tes'ta4,contestan,kon'tes.tan
1,contestando,1,contestando,contestar,contestar,VMG,contestar,k o n_d . t e s ' t a 4 ,contestando,k o n_d . t e s ' t a n_d . d o ,contestar,k o n . t e s ' t a 4 ,contestando,k o n . t e s ' t a n . d o ,contestar,kon.tes'ta4,contestando,kon.tes'tan.do
1,contestar,1,contestar,contestar,contestar,VMN,contestar,k o n_d . t e s ' t a 4 ,contestar,k o n_d . t e s ' t a 4 ,contestar,k o n . t e s ' t a 4 ,contestar,k o n . t e s ' t a 4 ,contestar,kon.tes'ta4,contestar,kon.tes'ta4
1.7,contestas,5,contestas,contestar,contestar,VMI,contestar,k o n_d . t e s ' t a 4 ,contestas,k o n_d ' t e s . t a s ,contestar,k o n . t e s ' t a 4 ,contestas,k o n ' t e s . t a s ,contestar,kon.tes'ta4,contestas,kon'tes.tas
1,contesten,1,contesten,contestar,contestar,VMS,contestar,k o n_d . t e s ' t a 4 ,contesten,k o n_d ' t e s . t e n ,contestar,k o n . t e s ' t a 4 ,contesten,k o n ' t e s . t e n ,contestar,kon.tes'ta4,contesten,kon'tes.ten
2.26,contigo,18,contigo,contigo,contigo,PP,contigo,k o n_d ' t i . G_o o ,contigo,k o n_d ' t i . G_o o ,contigo,k o n ' t i . g o ,contigo,k o n ' t i . g o ,contigo,kon'ti.go,contigo,kon'ti.go
1.7,contra,5,contra,contra,contra,SP,contra,k o n_d . t 4 a ,contra,k o n_d . t 4 a ,contra,' k o n . t 4 a ,contra,' k o n . t 4 a ,contra,'kon.t4a,contra,'kon.t4a
1,control,1,control,control,control,NC,control,k o n_d ' t 4 o l ,control,k o n_d ' t 4 o l ,control,k o n ' t 4 o l ,control,k o n ' t 4 o l ,control,kon't4ol,control,kon't4ol
1,controlando,1,controlando,controlar,controlar,VMG,controlar,k o n_d . t 4 o ' l a 4 ,controlando,k o n_d . t 4 o ' l a n_d . d o ,controlar,k o n . t 4 o ' l a 4 ,controlando,k o n . t 4 o ' l a n . d o ,controlar,kon.t4o'la4,controlando,kon.t4o'lan.do
1,convencida,1,convencida,convencer,convencer,VMP,convencer,k o m . b e n_d_+ ' T e 4 ,convencida,k o m . b e n_d_+ ' T i . D_o a ,convencer,k o m . b e n ' T e 4 ,convencida,k o m . b e n ' T i . d a ,convencer,kom.ben'Te4,convencida,kom.ben'Ti.da
1.3,convertía,2,convertía,convertir,convertir,VMI,convertir,k o m . b e 4 ' t i 4 ,convertía,k o m . b e 4 ' t i a ,convertir,k o m . b e 4 ' t i 4 ,convertía,k o m . b e 4 ' t i a ,convertir,kom.be4'ti4,convertía,kom.be4'tia
1,convierte,1,convierte,convertir,convertir,VMI,convertir,k o m . b e 4 ' t i 4 ,convierte,k o m ' b j e 4 . t e ,convertir,k o m . b e 4 ' t i 4 ,convierte,k o m ' b j e 4 . t e ,convertir,kom.be4'ti4,convierte,kom'bje4.te
1.3,copas,2,copas,copa,copa,NC,copa,' k o . p a ,copas,' k o . p a s ,copa,' k o . p a ,copas,' k o . p a s ,copa,'ko.pa,copas,'ko.pas
1,Copico,1,copico,copico,copico,NC,copico,k o ' p i . k o ,Copico,k o ' p i . k o ,copico,k o ' p i . k o ,Copico,k o ' p i . k o ,copico,ko'pi.ko,Copico,ko'pi.ko
1,copiloto,1,copiloto,copiloto,copiloto,NC,copiloto,k o . p i ' l o . t o ,copiloto,k o . p i ' l o . t o ,copiloto,k o . p i ' l o . t o ,copiloto,k o . p i ' l o . t o ,copiloto,ko.pi'lo.to,copiloto,ko.pi'lo.to
1,Copito,1,copito,copito,copito,NC,copito,k o ' p i . t o ,Copito,k o ' p i . t o ,copito,k o ' p i . t o ,Copito,k o ' p i . t o ,copito,ko'pi.to,Copito,ko'pi.to
1.48,copitos,3,copitos,copito,copito,NC,copito,k o ' p i . t o ,copitos,k o ' p i . t o s ,copito,k o ' p i . t o ,copitos,k o ' p i . t o s ,copito,ko'pi.to,copitos,ko'pi.tos
1,copos,1,copos,copo,copo,NC,copo,' k o . p o ,copos,' k o . p o s ,copo,' k o . p o ,copos,' k o . p o s ,copo,'ko.po,copos,'ko.pos
1,corazones,1,corazones,corazón,corazón,NC,corazón,k o . 4 a ' T o n ,corazones,k o . 4 a ' T o . n e s ,corazón,k o . 4 a ' T o n ,corazones,k o . 4 a ' T o . n e s ,corazón,ko.4a'Ton,corazones,ko.4a'To.nes
